float_id,platform_type,deployment_date,latitude,longitude,status,max_pressure,cycle_time,institution
ARGO_627236,PROVOR,2024-11-01 13:39:11.996455,-22.08316854196459,20.332251872561983,inactive,1348,6,INCOIS
ARGO_623397,APEX,2024-09-13 13:39:12.004850,16.3473625366386,89.19947923541666,active,1213,9,JAMSTEC
ARGO_375063,APEX,2023-09-23 13:39:12.010692,-15.518416878918675,98.55250953732225,active,1463,8,AOML
ARGO_445168,SOLO,2024-04-22 13:39:12.024440,-18.845017506338664,99.20148726142487,active,1881,6,INCOIS
ARGO_714523,ARVOR,2024-03-08 13:39:12.036568,-7.009900628016151,101.73727782957972,active,1993,7,CSIO
ARGO_913520,SOLO,2024-11-16 13:39:12.047461,6.7558033847093455,115.17860261647225,active,1727,10,JAMSTEC
ARGO_747606,SOLO,2024-05-01 13:39:12.052829,-25.433244288584426,105.48890270365985,inactive,1937,8,CSIO
ARGO_320074,APEX,2025-02-17 13:39:12.059737,13.29812169907592,100.38425163941949,inactive,1302,9,JAMSTEC
ARGO_495293,SOLO,2023-12-02 13:39:12.062449,5.935552031336343,51.448229076028426,active,1361,10,JAMSTEC
ARGO_111108,ARVOR,2025-02-09 13:39:12.070234,11.884707025969405,26.375754495954112,active,1392,5,JAMSTEC
ARGO_136356,PROVOR,2024-01-05 13:39:12.075672,19.77237392444887,81.8495691250462,inactive,1374,7,CSIO
ARGO_356526,SOLO,2024-02-13 13:39:12.088727,-29.50166324206699,88.46752999888022,active,1109,5,CSIO
ARGO_299475,APEX,2024-02-18 13:39:12.104329,17.47806003938097,24.472163873172097,active,1896,9,JAMSTEC
ARGO_723175,SOLO,2024-07-31 13:39:12.116582,-7.771692028380549,69.80808942198416,active,1409,8,AOML
ARGO_612958,ARVOR,2024-12-24 13:39:12.124993,-6.339740891515927,30.89229201475782,inactive,1239,5,INCOIS
ARGO_265445,SOLO,2024-02-19 13:39:12.136256,-9.779857775719076,24.569489670458182,active,1911,8,INCOIS
ARGO_154105,SOLO,2025-07-24 13:39:12.145474,-3.4552982140097512,32.8567439703686,active,1340,7,CSIO
ARGO_955496,PROVOR,2025-08-06 13:39:12.147470,-17.872620697900242,90.60914401334412,maintenance,1971,9,INCOIS
ARGO_845322,SOLO,2025-06-25 13:39:12.148537,-14.768336935720976,90.97156578409924,active,1350,7,INCOIS
ARGO_329909,ARVOR,2024-10-16 13:39:12.149665,9.739167495869125,71.5410085246661,active,1378,6,AOML
